State,LGA,COMMUNITY,DATE OF OCCURRENCE,PERSONS AFFECTED,DISPLACED PERSONS
Abia,Bende,,,785,-
Abia,Ohafia,,,785,-
Adamawa,Madagali,11 Communities,24/08/2022,8418,-
Adamawa,Demsa,"Bilachi, Bali, Mbongado, Dwam Sabo, Moral, Moro 2, Zuran I, Zuran 2, Kulasala,
Kuli, Labakuri, Mbumara, Nsarawo Demsa. Mbula and Kabawa",15/08/2022,12996,-
Adamawa,Fufore,"Fufore metropolis, Daitsin Hausa, Dula, Dula bwatiye, Nafori",17/07/2022,1711,-
Adamawa,Numan,"lmburu, Hayin Gada, Kwakwambe, /urei, gwalam and Gbalang",15/08/2022,7912,-
Adamawa,Girei,"Jibiro, Timpi, Arda Mokawo, Vindi Dubbe, Ardo Babayo, Ngolkoyere. Jauro Ndundu",19/08/2022,2731,-
Adamawa,Song,"Loko, Gudure, Kolere, Dumne and Gadamayo",17/07/2022,8111,-
Adamawa,Madagali,"Mayo Wandu, Kapa. Kirchinga, Shuwa, Duhu, Saban Gari, Hyumbula, Ghumbul, Katin Hausa and Wuro Ngayandi",25/08/2022,8413,-
Adamawa,Yola North,"Rumde Baru, Faro Road. Jambutu, Dami/u A, Damilu New. Limawa, Gwadabawa, Boramji, Kofare, Bacchure",19/08/2022,9971,-
Adamawa,Shelleng,"Shelfeng community. kiri. wuro yanka, Karim and Lababiri",15/08/2022,9549,-
Adamawa,Yola South,"Yola South metropolis, Wura Jabbe, unguwantabo, mbamba, damare, Njobili,
Njoboliyo, Rugange, Sebore, Anguwan Sanda, Woru Chekke, Dandu, Wauru Jabbe, Saminaka and Yolde pate '•",17/08/2022,8816,-
Adamawa,Fufore,,17/07/2022,9958,-
Adamawa,Numan,,17/07/2022,4686,-
Adamawa,Song,,17/07/2022,1506,-
Adamawa,Yola North,,44686,1854,-
Adamawa,Yola South,,44686,3072,-
Anambra,Anambra East,Aguleri,22/09/2022,20998,19727
Anambra,Anambra East,Enugu-0tu,22/09/2022,31002,29835
Anambra,Anambra East,Eziagulu-otu,22/09/2022,21041,19975
Anambra,Anambra East,Mkpunando-otu,22/09/2022,9959,8407
Anambra,Anambra East,lgbariam,22/09/2022,5806,5120
Anambra,Anambra East,Umueri,22/09/2022,1194,974
Anambra,Anambra East,Nsugbe,22/09/2022,2202,1788
Anambra,Anambra East,lkemivite Nanda,22/09/2022,5798,5184
Anambra,Anambra East,Umuoba,22/09/2022,5304,4812
Anambra,Anambra West,Umueze,22/09/2022,22031,19457
Anambra,Anambra West,Umuenwelum,22/09/2022,23969,21840
Anambra,Anambra West,Oroma-Etiti,22/09/2022,20066,18338
