,state,disaster,disaster_frequency_3_years,abandoned_area,production_distruption_loss,loss_severity_economic,land_lost,Crop losses,severity_of_physical_loss
0,BENUE,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1,BENUE,Flood,3.0,Yes,No,Significant losses,No,Yes,Almost total or total losses
2,BENUE,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Small losses
3,BENUE,Flood,2.0,No,Yes,Significant losses,No,Yes,Almost total or total losses
4,BENUE,Drought,1.0,No,No,Significant losses,No,Yes,Significant losses
5,BENUE,Drought,6.0,Yes,No,,No,Yes,Significant losses
6,BENUE,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
7,BENUE,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
8,BENUE,Drought,2.0,No,No,Significant losses,No,Yes,Significant losses
9,BENUE,Heavy rainfall,7.0,No,No,Significant losses,No,Yes,Significant losses
10,BENUE,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
11,BENUE,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Small losses
12,BENUE,Heavy rainfall,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
13,BENUE,Extreme Winds,1.0,No,No,,No,No,Small losses
14,BENUE,Heavy rainfall,4.0,No,Yes,Almost total or total losses,No,No,Significant losses
15,BENUE,Heavy rainfall,4.0,No,Yes,Significant losses,No,Yes,Significant losses
16,BENUE,Flood,1.0,No,Yes,Significant losses,No,Yes,Significant losses
17,BENUE,Heavy rainfall,7.0,Yes,No,,Yes,Yes,Significant losses
18,BENUE,Heavy rainfall,2.0,No,Yes,Small losses,No,No,Small losses
19,BENUE,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Almost total or total losses
20,BENUE,Heavy rainfall,1.0,No,No,Significant losses,No,Yes,Significant losses
21,BENUE,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
22,BENUE,Heavy rainfall,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
23,BENUE,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
24,BENUE,Flood,5.0,No,No,Significant losses,No,Yes,Significant losses
25,BENUE,Heavy rainfall,4.0,No,Yes,Small losses,No,No,Small losses
26,BENUE,Extreme Winds,5.0,No,Yes,Significant losses,No,Yes,Significant losses
27,BENUE,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
28,BENUE,Flood,20.0,Yes,Yes,Significant losses,No,Yes,Significant losses
29,BENUE,Drought,10.0,Yes,Yes,Small losses,Yes,Yes,Small losses
30,BENUE,Other (specify),1.0,No,No,Small losses,Yes,No,Small losses
31,BENUE,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
32,BENUE,Heavy rainfall,4.0,No,Yes,Significant losses,No,Yes,Small losses
33,BENUE,Heavy rainfall,4.0,No,No,Significant losses,No,Yes,Significant losses
34,BENUE,Extreme Winds,1.0,No,Yes,Small losses,No,Yes,Small losses
35,BENUE,Heavy rainfall,1.0,Yes,No,Small losses,No,Yes,Small losses
36,BENUE,Heavy rainfall,3.0,No,No,Almost total or total losses,No,Yes,Almost total or total losses
37,BENUE,Fire Disaster,2.0,No,No,Significant losses,No,No,Small losses
38,BENUE,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
39,BENUE,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
40,BENUE,Extreme temperatures (cold or heat),4.0,Yes,Yes,Small losses,Yes,Yes,Small losses
41,BENUE,Other (specify),1.0,Yes,Yes,Small losses,Yes,Yes,Small losses
42,BENUE,Flood,5.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
43,BENUE,Extreme Winds,3.0,No,Yes,Small losses,No,Yes,Small losses
44,BENUE,Heavy rainfall,1.0,No,Yes,Small losses,No,No,Small losses
45,BENUE,Heavy rainfall,1.0,Yes,No,Significant losses,No,Yes,Significant losses
46,BENUE,Extreme Winds,1.0,No,Yes,Small losses,No,No,Small losses
