,state,comid,agro_processing,milling_facility,feed_mill,corn_husker,cocoa_mill,palm_oil_mill,rice_husker,crop_processing_facility,electricity_available,land_degradation_pct,increase_land_degradation,abandoned_farm_pct,land_issue_soil_erosion,land_issue_poor_roads,land_issue_other,produce_transport_method,extension_services_present,storage_facility_available,challenge_crop_diseases,challenge_animal_damage,sales_difficulties,poor_transport,main_crop_planted
0,NIGER,COM0019963,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
1,NIGER,COM0021059,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,1%-25%,Decreasing,None (0%),,,,Foot,Yes,Yes,No,No,No,No,MAIZE
2,KWARA,COM0017412,Yes,No,No,No,No,No,No,No,No,26%-50%,Increasing,1%-25%,0.0,2.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,SOYA BEANS
3,PLATEAU,COM0004377,No,,,,,,,,No,1%-25%,Increasing,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, THREE LEAVED"
4,KWARA,COM0005110,No,,,,,,,,No,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,MAIZE
5,KOGI,COM0000391,Yes,No,No,No,No,Yes,No,No,No,1%-25%,Decreasing,None (0%),,,,Foot,No,No,No,Yes,No,No,"YAM, THREE LEAVED"
6,KOGI,COM0022929,Yes,No,No,Yes,No,No,No,Yes,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,Yes,Yes,Yes,No,No,CASSAVA
7,BENUE,COM0009614,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,Yes,No,No,No,BEENI-SEED/SESAME
8,BENUE,COM0004351,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,Yes,Yes,No,No,No,Yes,
9,BENUE,COM0007442,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
10,PLATEAU,COM0008382,Yes,No,No,No,No,No,Yes,No,No,1%-25%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,Yes,Yes,Yes,No,No,MAIZE
11,BENUE,COM0014242,Yes,Yes,No,No,No,No,No,No,No,1%-25%,Increasing,1%-25%,1.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,CASSAVA
12,PLATEAU,COM0023733,Yes,No,No,Yes,No,No,Yes,No,No,None (0%),,1%-25%,3.0,0.0,1.0,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,MAIZE
13,KWARA,COM0023426,No,,,,,,,,Yes,1%-25%,Decreasing,1%-25%,0.0,0.0,1.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,"YAM, THREE LEAVED"
14,FCT,COM0025518,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,
15,PLATEAU,COM0000723,No,,,,,,,,No,None (0%),,None (0%),,,,Car/Van,Yes,No,No,Yes,No,Yes,"YAM, WHITE"
16,KOGI,COM0024959,Yes,No,No,No,No,No,Yes,No,No,1%-25%,Decreasing,1%-25%,0.0,0.0,2.0,Bicycle,No,No,Yes,Yes,Yes,Yes,MAIZE
17,KWARA,COM0009612,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
18,NASARAWA,COM0015290,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,
